,State,County,State_abb,"Population Estimate, 2012","Population Estimate, 2016",%change_Pop_2012_2016,Percent_Change_Groc_Stor_12_16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16","Fast-food restaurants (% change), 2012-16",percentage_Change_FSerResta_2012 -2016,Fast Food Restaurant,Full Service Restaurant,WIC-authorized stores,SNAPS Autorized Stores,Grocery Stores,Super Centres,Convenient Stores,Specialized Food Stores,SNAPAuthStores(%),SNAP redemptions_SNAP-authorized stores(Dollars per Store),SNAP participants (% pop),Farmer Market(Count),Farmers' _markets_acceptin_g SNAP,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities,Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16
266, Colorado,Fremont ,CO,47122,47446,0.68,0.0,-0.33,-1.71,-6.25,-5.263157895,15,36,5,25.33,6,1,16,2,,334634.21,8.55,4,2.0,8.1,22.8,4,17.61,17.54,41967.0,17.2,0,24.8,0.0,6.465246901,-0.962802919
267, Colorado,Garfield ,CO,56709,58887,3.7,37.5,22.97,18.93,4.545454545,6.41025641,46,83,7,36.58,11,1,27,4,,163086.48,8.55,5,1.0,4.7,20.0,4,8.37,26.98,64487.0,10.3,0,14.6,0.0,-39.46137336,-0.962802919
268, Colorado,Gilpin ,CO,5453,5931,8.06,-50.0,-72.09,-74.16,0.0,0.0,0,2,0,1.0,1,0,1,0,,0.0,8.55,0,0.0,6.3,19.7,0,9.45,17.63,67389.0,8.0,0,12.0,0.0,0.0,-0.962802919
269, Colorado,Grand ,CO,14147,15008,5.74,-28.57,9.01,3.1,14.28571429,-10.16949153,16,53,3,10.08,5,0,12,1,,70673.63,8.55,3,0.0,5.6,17.4,3,10.23,20.33,59885.0,8.3,0,13.5,0.0,-22.77085715,-0.962802919
270, Colorado,Gunnison ,CO,15425,16408,5.99,-16.67,-6.5,-11.82,7.692307692000001,4.255319149,14,49,2,9.58,5,0,5,4,,143784.33,8.55,2,1.0,4.6,14.8,2,8.82,18.14,47619.0,12.5,0,14.3,0.0,7.743414453,-0.962802919
271, Colorado,Hinsdale ,CO,797,788,-1.14,100.0,,,-100.0,-14.28571429,0,6,0,1.0,2,0,3,0,,0.0,8.55,0,0.0,6.6,20.5,0,17.44,19.93,58613.0,10.9,0,30.8,0.0,0.0,-0.962802919
272, Colorado,Huerfano ,CO,6582,6677,1.42,33.33,-8.96,-10.06,100.0,-30.0,4,7,2,10.17,4,0,5,0,,206881.21,8.55,2,2.0,7.6,20.1,1,25.17,17.7,33098.0,23.2,0,41.6,0.0,19.57363229,-0.962802919
273, Colorado,Jackson ,CO,1347,1357,0.74,100.0,100.0,98.67,0.0,-33.33333333,0,2,1,2.0,2,0,2,0,,0.0,8.55,0,0.0,6.6,21.4,0,18.44,18.65,46905.0,13.9,0,25.3,1.0,0.0,-0.962802919
274, Colorado,Jefferson ,CO,546080,571837,4.5,16.98,9.47,4.4,10.41666667,15.4822335,424,455,42,227.42,62,14,154,31,,288095.0,8.55,11,5.0,5.4,18.3,77,12.61,22.28,71209.0,7.9,0,9.7,0.0,-16.7829642,-0.962802919
275, Colorado,Kiowa ,CO,1438,1373,-4.73,0.0,16.67,22.7,0.0,100.0,0,2,1,1.17,2,0,1,0,,0.0,8.55,0,0.0,7.7,19.5,0,21.46,22.46,42108.0,13.9,0,22.1,1.0,0.0,-0.962802919
276, Colorado,Kit Carson ,CO,8107,8195,1.07,0.0,-11.67,-12.76,33.33333333,40.0,8,7,4,8.83,5,0,4,0,,72560.28,8.55,0,0.0,7.3,27.6,0,15.99,22.24,44090.0,12.2,0,20.0,0.0,6.885098834,-0.962802919
277, Colorado,Lake ,CO,7280,7618,4.44,0.0,2.74,-1.04,-37.5,-9.090909091,5,10,1,6.25,2,0,6,0,,91545.82,8.55,0,0.0,5.4,17.5,1,8.85,24.92,45913.0,15.7,0,25.5,0.0,-17.68280444,-0.962802919
278, Colorado,La Plata ,CO,52356,55623,5.87,-21.43,18.15,11.3,31.42857143,-8.108108108,46,68,5,25.5,11,1,24,10,,222186.19,8.55,2,1.0,4.8,16.3,9,11.65,20.48,60732.0,9.4,0,11.5,0.0,-23.97560894,-0.962802919
279, Colorado,Larimer ,CO,310965,339993,8.54,19.35,5.42,-3.72,3.278688525,12.74900398,252,283,24,111.75,37,8,92,40,,270037.36,8.55,12,7.0,5.2,18.7,42,11.86,21.38,64935.0,12.2,0,10.7,0.0,-23.61358673,-0.962802919
280, Colorado,Las Animas ,CO,14967,14103,-6.13,0.0,-4.76,0.92,-8.333333332999999,-25.0,11,12,3,11.67,4,1,8,0,,455674.69,8.55,1,1.0,7.7,21.0,4,17.72,20.9,38858.0,19.3,0,28.1,0.0,15.6773096,-0.962802919
281, Colorado,Lincoln ,CO,5442,5643,3.56,50.0,-12.5,-15.45,50.0,0.0,3,8,2,7.0,3,0,6,0,,68035.71,8.55,0,0.0,7.6,23.8,0,16.79,20.49,43188.0,19.4,0,25.0,0.0,16.61274918,-0.962802919
282, Colorado,Logan ,CO,21846,21919,0.33,-25.0,-11.86,-9.0,-7.142857143,15.38461539,13,15,3,8.67,3,1,8,2,,388044.2,8.55,0,0.0,7.0,25.4,2,14.62,20.0,46306.0,15.5,0,17.9,0.0,2.231486861,-0.962802919
283, Colorado,Mesa ,CO,147471,150083,1.74,25.0,16.64,14.91,-8.080808081,-1.01010101,91,98,12,71.25,20,3,49,20,,404873.69,8.55,3,0.0,7.2,23.5,11,14.91,23.53,51449.0,14.1,0,17.8,0.0,-12.39509282,-0.962802919
284, Colorado,Mineral ,CO,710,732,3.01,0.0,0.0,-3.14,0.0,-16.66666667,1,5,0,1.0,1,0,2,0,,0.0,8.55,1,1.0,6.8,18.1,0,23.03,14.19,50481.0,9.4,0,19.0,0.0,0.0,-0.962802919
285, Colorado,Moffat ,CO,13164,13109,-0.42,0.0,-7.89,-7.26,-16.66666667,7.142857143,5,15,3,11.67,2,1,9,0,,187947.84,8.55,1,0.0,6.3,25.8,1,10.54,27.06,59173.0,11.7,0,17.4,0.0,-9.794963367000001,-0.962802919
286, Colorado,Montezuma ,CO,25437,26999,5.79,75.0,46.36,37.86,7.692307692000001,32.14285714,14,37,5,18.42,7,1,12,0,,443521.44,8.55,4,1.0,6.5,21.7,0,16.72,23.49,42975.0,19.3,0,28.7,0.0,-26.23235012,-0.962802919
287, Colorado,Montrose ,CO,40678,41471,1.91,28.57,9.64,7.67,10.0,-8.823529412000001,22,31,7,22.75,9,1,8,3,,313409.02,8.55,1,1.0,8.1,19.7,5,17.8,24.66,46860.0,17.7,0,25.2,0.0,-27.34980277,-0.962802919
288, Colorado,Morgan ,CO,28331,28274,-0.2,20.0,7.47,8.23,-15.38461539,47.05882353,11,25,5,25.17,6,1,16,1,,163071.56,8.55,1,0.0,7.4,26.9,3,14.08,27.97,49087.0,12.1,0,16.9,0.0,-18.77349641,-0.962802919
289, Colorado,Otero ,CO,18689,18295,-2.15,0.0,-11.32,-9.37,-8.333333332999999,-22.72727273,11,17,5,15.67,4,1,14,2,,406973.66,8.55,0,0.0,6.8,26.9,0,18.36,24.75,34970.0,20.6,0,30.6,0.0,16.39144848,-0.962802919
290, Colorado,Ouray ,CO,4546,4857,6.4,-25.0,12.5,4.93,0.0,-28.0,6,18,2,3.0,3,0,3,1,,0.0,8.55,2,0.0,6.7,18.6,0,17.52,17.97,60402.0,9.4,0,15.2,0.0,0.0,-0.962802919
291, Colorado,Park ,CO,16037,17166,6.58,0.0,-25.0,-29.97,-37.5,50.0,5,15,1,3.0,4,0,6,1,,90291.48,8.55,1,0.0,6.7,20.5,0,11.61,19.18,63319.0,9.2,0,14.7,0.0,22.09502377,-0.962802919
292, Colorado,Phillips ,CO,4382,4288,-2.19,100.0,5.88,7.83,0.0,100.0,2,8,2,3.0,4,0,3,1,,0.0,8.55,0,0.0,7.8,22.8,1,20.69,25.26,48562.0,11.1,0,16.7,0.0,0.0,-0.962802919
293, Colorado,Pitkin ,CO,17223,17752,2.98,75.0,-6.25,-8.83,-17.39130435,16.66666667,19,77,1,3.75,7,0,6,3,,59049.88,8.55,1,0.0,5.1,14.9,7,11.45,17.49,76663.0,7.0,0,7.6,0.0,-3.003015495,-0.962802919
294, Colorado,Prowers ,CO,12408,11922,-4.08,-25.0,-7.1,-3.46,-9.090909091,0.0,10,6,4,13.08,3,1,9,0,,303315.12,8.55,0,0.0,8.4,26.1,2,14.62,27.12,41348.0,19.6,0,27.9,0.0,0.7632796070000001,-0.962802919
295, Colorado,Pueblo ,CO,160397,165123,2.86,6.25,-1.41,-3.96,-12.61261261,5.7377049179999995,97,129,14,116.33,17,4,58,13,,486331.73,8.55,4,0.0,9.1,25.9,13,15.31,24.47,40540.0,19.8,0,27.1,0.0,-0.291156992,-0.962802919
296, Colorado,Rio Blanco ,CO,6796,6545,-3.83,0.0,50.0,57.15,25.0,12.5,5,9,2,9.0,1,0,6,1,,37615.57,8.55,0,0.0,6.0,22.6,0,12.41,24.32,61426.0,9.7,0,11.2,0.0,-40.93689577,-0.962802919
297, Colorado,Rio Grande ,CO,11882,11479,-3.51,-33.33,10.49,14.96,-16.66666667,-14.28571429,5,12,3,13.17,4,0,8,1,,191150.09,8.55,2,2.0,6.9,23.2,1,16.23,25.25,40259.0,17.2,0,28.7,0.0,-12.095168699999999,-0.962802919
298, Colorado,Routt ,CO,23285,24648,5.53,0.0,5.41,-0.21,4.166666667,21.05263158,25,69,3,13.0,9,0,10,5,,97439.23,8.55,3,0.0,4.1,14.3,6,8.12,20.88,70989.0,8.9,0,10.9,0.0,-11.04858841,-0.962802919
299, Colorado,Saguache ,CO,6305,6389,1.31,100.0,-27.1,-28.07,0.0,-20.0,1,4,1,6.5,4,0,4,0,,75010.78,8.55,0,0.0,7.0,19.7,0,14.62,23.18,34209.0,29.6,1,49.3,0.0,-41.80927617,-0.962802919
300, Colorado,San Juan ,CO,691,694,0.43,,0.0,-0.58,0.0,11.11111111,4,10,0,1.0,1,0,1,0,,0.0,8.55,0,0.0,6.7,19.3,0,12.3,18.31,43489.0,15.6,0,33.7,0.0,0.0,-0.962802919
301, Colorado,San Miguel ,CO,7578,8017,5.48,16.67,15.38,9.1,-14.28571429,3.448275862,12,30,2,5.0,7,0,4,2,,43564.94,8.55,3,1.0,5.0,16.7,1,7.03,19.66,62793.0,11.0,0,13.3,0.0,-47.48237677,-0.962802919
302, Colorado,Sedgwick ,CO,2372,2407,1.45,0.0,0.0,-1.0,0.0,0.0,1,4,1,1.0,1,0,0,0,,,8.55,0,0.0,8.0,22.1,0,23.92,19.34,40325.0,13.6,0,23.8,0.0,0.0,-0.962802919
303, Colorado,Summit ,CO,28223,30374,7.08,22.22,26.21,16.53,14.28571429,15.68627451,48,118,3,15.25,11,0,19,6,,91234.83,8.55,1,1.0,4.1,13.1,0,7.71,17.45,69633.0,8.7,0,10.3,0.0,-48.01996988,-0.962802919
304, Colorado,Teller ,CO,23373,24043,2.79,0.0,25.16,21.75,0.0,-4.545454545,14,21,5,16.58,4,1,12,3,,209118.67,8.55,2,2.0,6.9,20.3,3,12.95,20.47,66191.0,8.8,0,15.3,0.0,-17.77334331,-0.962802919
305, Colorado,Washington ,CO,4737,4908,3.48,0.0,60.0,55.37,100.0,100.0,2,2,1,2.0,1,0,3,0,,,8.55,0,0.0,6.5,23.2,0,19.28,23.37,47592.0,11.4,0,15.6,0.0,0.0,-0.962802919
306, Colorado,Weld ,CO,263997,294932,10.49,0.0,4.69,-6.4,13.74045802,6.993006993,149,153,15,119.0,29,4,75,9,,278714.85,8.55,10,5.0,6.4,26.0,22,9.59,27.85,69434.0,11.3,0,13.5,0.0,-8.86526326,-0.962802919
307, Colorado,Yuma ,CO,10117,10103,-0.14,-20.0,-10.94,-10.8,-50.0,-18.75,2,13,4,9.5,4,0,4,1,,90080.61,8.55,0,0.0,6.1,24.8,0,16.16,26.36,48934.0,14.1,0,18.6,0.0,-7.393871496,-0.962802919
308, Connecticut,Fairfield ,CT,934931,944177,0.98,9.64,2.04,0.92,25.52380952,7.444444444,659,967,160,459.08,216,5,248,94,,262906.0,11.95,31,2.0,7.6,21.4,212,13.53,24.76,86297.0,9.0,0,11.2,0.0,-8.630985923999999,0.809998593
309, Connecticut,Hartford ,CT,897420,892389,-0.56,22.5,5.18,5.75,15.41425819,-2.244389027,599,784,206,703.92,245,6,320,63,,305917.97,11.95,35,6.0,9.6,26.8,129,14.55,22.82,69260.0,11.1,0,15.7,0.0,-7.032960758,0.809998593
310, Connecticut,Litchfield ,CT,187487,182571,-2.69,2.56,11.82,14.86,41.17647059,-5.714285714,96,198,21,93.0,40,1,68,12,,194481.97,11.95,16,3.0,6.7,23.9,19,15.98,21.56,70847.0,7.4,0,9.4,0.0,-14.39060201,0.809998593
311, Connecticut,Middlesex ,CT,165512,163329,-1.34,0.0,17.9,19.55,10.41666667,-4.347826087,106,176,19,96.58,34,0,57,15,,185501.69,11.95,12,1.0,8.4,24.1,22,15.46,21.18,82878.0,6.7,0,7.4,0.0,-3.9080075310000004,0.809998593
312, Connecticut,New Haven ,CT,864177,856875,-0.85,4.71,1.86,2.57,18.97810219,0.662251656,652,760,180,670.58,200,10,302,67,,308368.06,11.95,28,5.0,9.0,26.5,100,14.37,22.37,61758.0,13.6,0,20.0,0.0,-1.774575351,0.809998593
313, Connecticut,New London ,CT,274267,269801,-1.66,-14.0,4.04,5.73,24.50331126,-3.169014085,188,275,38,190.83,43,3,110,22,,251504.37,11.95,18,4.0,9.2,27.6,29,14.23,21.75,65602.0,11.1,0,17.4,0.0,-11.04878267,0.809998593
314, Connecticut,Tolland ,CT,152006,151118,-0.59,-28.57,7.57,7.87,19.64285714,2.150537634,67,95,18,74.58,15,0,44,6,,121688.25,11.95,10,3.0,7.2,24.8,16,11.93,20.23,81616.0,7.1,0,7.2,0.0,-9.999432582999999,0.809998593
315, Connecticut,Windham ,CT,117995,116192,-1.55,16.67,10.15,11.49,6.896551724,0.0,62,82,20,101.25,21,2,45,5,,264447.51,11.95,7,0.0,10.1,29.6,11,12.85,22.33,61303.0,10.9,0,16.8,0.0,-10.86396379,0.809998593
316, Delaware,Kent ,DE,167605,174827,4.13,41.18,0.93,-3.23,7.3170731710000005,3.571428571,88,87,17,153.83,24,3,59,9,,346384.05,15.34,4,2.0,12.8,32.8,16,13.54,24.88,55678.0,14.2,0,21.3,0.0,-9.12821341,-0.85070816
317, Delaware,New Castle ,DE,546041,556987,1.97,18.18,4.29,2.25,4.054054054,12.28571429,385,393,48,419.17,91,5,170,45,,298153.87,15.34,16,9.0,9.0,27.7,88,12.3,23.23,66179.0,12.1,0,17.6,0.0,-4.914643828,-0.85070816
318, Delaware,Sussex ,DE,203347,220251,7.67,4.17,7.87,-0.38,0.0,13.671875,142,291,19,182.67,50,4,82,31,,244134.68,15.34,16,3.0,13.2,31.0,30,20.83,20.45,54309.0,12.3,0,21.4,0.0,-15.45111239,-0.85070816
319, District of Columbia,District of Columbia,DC,635327,681170,6.73,9.39,-0.86,-7.97,14.61748634,18.87905605,839,806,24,421.0,198,2,185,47,,272633.76,19.38,54,43.0,8.1,22.4,88,11.44,16.75,73115.0,17.7,0,28.3,0.0,-9.045293381,-2.7536811439999997
320, Florida,Alachua ,FL,251587,263496,4.52,-11.9,5.79,0.94,13.52941177,5.4644808739999995,193,193,27,220.67,37,2,130,11,,247721.17,15.65,8,4.0,8.3,25.6,33,10.77,17.9,47023.0,21.1,1,21.6,0.0,-23.17864593,-1.867014594
321, Florida,Baker ,FL,27055,27937,3.16,-33.33,44.03,39.64,23.07692308,18.18181818,16,13,3,35.17,4,1,20,1,,215241.37,15.65,0,,13.0,35.8,3,10.9,25.99,50883.0,16.8,0,24.2,0.0,-42.11040282,-1.867014594
322, Florida,Bay ,FL,172029,183974,6.49,-16.13,17.79,10.06,8.8,14.37125749,136,191,25,209.17,26,5,129,18,,219305.48,15.65,4,2.0,11.2,29.9,18,14.54,21.96,47745.0,16.5,0,25.8,0.0,-32.57241624,-1.867014594
323, Florida,Bradford ,FL,27141,26926,-0.8,-33.33,14.17,14.69,0.0,10.0,16,11,3,35.58,4,1,22,1,,272877.11,15.65,2,0.0,14.4,35.9,1,14.42,19.76,40879.0,21.3,0,31.0,0.0,-27.97140777,-1.867014594
324, Florida,Brevard ,FL,547753,579130,5.42,15.71,3.94,-1.77,0.586510264,11.88811189,343,480,53,494.92,81,12,297,44,,232501.84,15.65,6,1.0,11.7,25.6,45,20.37,19.82,50352.0,13.4,0,21.3,0.0,-16.15246832,-1.867014594
325, Florida,Broward ,FL,1816552,1909632,4.87,2.19,5.58,0.35,7.34557596,11.13619263,1286,1477,164,1101.17,374,28,737,153,,381001.89,15.65,9,2.0,9.5,24.4,183,14.27,22.39,53624.0,14.0,0,20.3,0.0,-13.78872897,-1.867014594
326, Florida,Calhoun ,FL,14717,14423,-2.04,300.0,-11.11,-9.26,-12.5,-11.11111111,7,8,3,10.0,4,0,4,0,,300140.87,15.65,0,,15.5,39.4,0,15.44,21.42,36062.0,22.2,0,32.8,0.0,-9.434494792,-1.867014594
327, Florida,Charlotte ,FL,162937,178465,8.7,-17.39,2.3,-6.88,1.369863014,22.33009709,74,126,20,115.0,19,6,54,11,,229441.51,15.65,3,1.0,14.1,25.7,13,34.13,14.3,45495.0,12.4,0,23.3,0.0,-32.06018237,-1.867014594
328, Florida,Citrus ,FL,139341,143621,2.98,0.0,6.9,3.73,-7.843137255,-6.593406592999999,47,85,16,134.33,18,3,69,4,,214126.97,15.65,1,0.0,14.6,26.3,8,31.89,15.86,39982.0,17.5,0,31.4,0.0,-22.42902133,-1.867014594
329, Florida,Clay ,FL,194260,208311,6.75,-25.0,1.74,-5.08,4.3859649119999995,3.092783505,119,100,22,131.42,21,5,77,9,,234256.93,15.65,1,0.0,12.0,29.7,18,11.68,26.29,59244.0,11.6,0,15.7,0.0,-17.11718831,-1.867014594
330, Florida,Collier ,FL,332332,365136,8.98,5.08,2.92,-6.3,14.19753086,13.12849162,185,405,36,217.5,62,7,102,28,,229625.56,15.65,9,1.0,8.6,19.5,33,26.42,19.48,62385.0,13.6,0,22.9,0.0,-23.26942417,-1.867014594
331, Florida,Columbia ,FL,67949,69299,1.95,60.0,4.48,2.47,5.263157895,24.24242424,40,41,8,85.58,8,1,57,2,,241017.59,15.65,1,0.0,12.7,36.3,6,15.39,22.5,43303.0,19.7,0,30.4,0.0,-13.64347965,-1.867014594
332, Florida,DeSoto ,FL,34781,35800,2.85,0.0,-4.83,-7.72,-8.333333332999999,22.22222222,11,11,6,27.92,5,1,16,1,,346373.3,15.65,0,,13.7,36.0,0,17.86,22.47,34380.0,30.5,0,41.3,0.0,-11.70878165,-1.867014594
333, Florida,Dixie ,FL,16074,16300,1.39,-25.0,-9.54,-10.51,60.0,300.0,8,4,2,18.17,3,0,8,0,,181284.77,15.65,0,,14.0,30.6,0,19.3,19.15,35749.0,29.3,0,38.2,0.0,-3.353835188,-1.867014594
334, Florida,Duval ,FL,880870,926255,4.9,-17.59,3.24,-1.96,4.378531073,13.7254902,739,696,97,952.0,164,20,444,75,,291857.32,15.65,10,4.0,11.2,30.6,80,11.13,23.55,49565.0,16.0,0,25.4,0.0,-13.80484661,-1.867014594
335, Florida,Escambia ,FL,304218,315187,3.48,-4.35,5.89,1.7,6.818181817999999,17.34104046,188,203,30,314.42,44,6,156,18,,270729.17,15.65,5,1.0,12.4,28.9,24,14.42,21.56,45735.0,15.4,0,27.4,0.0,-22.08979594,-1.867014594
336, Florida,Flagler ,FL,98605,108310,8.96,21.43,11.82,1.55,12.12121212,8.955223881,37,73,10,59.92,17,2,31,4,,283263.7,15.65,2,1.0,12.4,24.2,5,24.46,19.89,50347.0,11.7,0,20.9,0.0,-28.931013899999996,-1.867014594
337, Florida,Franklin ,FL,11637,11901,2.22,20.0,-3.76,-5.49,-28.57142857,-4.347826087,5,22,4,17.08,6,0,9,2,,135557.63,15.65,0,,11.0,32.2,1,17.45,17.06,38220.0,23.7,0,38.5,0.0,-9.328954255,-1.867014594
338, Florida,Gadsden ,FL,46574,46006,-1.23,42.86,0.0,1.13,5.555555556,0.0,19,14,8,57.5,10,1,31,2,,247475.15,15.65,1,0.0,17.1,36.5,0,13.63,24.15,36637.0,24.5,0,38.4,0.0,-21.51206891,-1.867014594
339, Florida,Gilchrist ,FL,16886,17212,1.89,-25.0,9.88,7.35,100.0,33.33333333,6,4,2,15.75,3,0,7,0,,83216.43,15.65,0,,8.4,31.5,0,16.86,21.44,39342.0,19.2,0,29.5,0.0,-26.27139002,-1.867014594
340, Florida,Glades ,FL,13007,13970,6.89,-100.0,37.08,28.61,-33.33333333,50.0,2,3,1,10.17,0,0,6,0,,42554.97,15.65,0,,13.8,33.1,0,21.48,18.76,40215.0,22.1,0,33.1,0.0,-17.66846956,-1.867014594
341, Florida,Gulf ,FL,15669,15990,2.01,33.33,2.31,0.57,-36.36363636,83.33333333,7,11,2,18.42,4,0,6,0,,115237.65,15.65,2,0.0,11.1,30.9,1,16.31,16.23,41320.0,21.9,0,29.2,0.0,-28.23632902,-1.867014594
342, Florida,Hamilton ,FL,14732,14361,-2.58,-60.0,11.89,14.6,-12.5,-50.0,7,3,2,21.17,2,0,17,0,,94773.66,15.65,0,0.0,13.0,33.2,0,13.15,19.68,33497.0,31.8,1,44.6,0.0,-29.14053931,-1.867014594
343, Florida,Hardee ,FL,27379,27360,-0.07,-9.09,-3.54,-3.0,12.5,-20.0,9,8,6,27.25,10,1,17,0,,263863.93,15.65,0,0.0,12.6,33.9,2,12.89,27.68,35850.0,25.9,1,36.5,0.0,-24.31564313,-1.867014594
344, Florida,Hendry ,FL,37777,39290,3.85,20.0,31.87,25.68,37.5,-5.882352941000001,22,16,8,42.42,12,1,23,3,,405516.82,15.65,0,0.0,13.7,35.2,3,11.47,27.81,39320.0,25.8,0,36.4,0.0,-32.475692800000004,-1.867014594
345, Florida,Hernando ,FL,173110,182835,5.32,-14.81,16.19,10.21,15.49295775,16.30434783,82,107,23,122.58,23,4,64,3,,366068.53,15.65,3,0.0,13.4,32.1,11,25.77,19.77,43103.0,14.3,0,24.5,0.0,-27.28702888,-1.867014594
346, Florida,Highlands ,FL,98045,100917,2.85,-22.22,0.79,-2.0,-11.11111111,16.66666667,40,56,12,85.5,14,2,48,2,,316266.77,15.65,1,0.0,14.2,31.0,6,32.21,18.19,34691.0,22.9,0,38.1,0.0,-13.65476643,-1.867014594
347, Florida,Hillsborough ,FL,1281677,1376238,6.87,-5.02,0.23,-6.94,13.87755102,14.67889908,837,875,138,1074.0,265,23,597,113,,346121.48,15.65,9,2.0,10.4,28.3,127,11.82,23.93,51710.0,15.8,0,21.4,0.0,-16.25757265,-1.867014594
348, Florida,Holmes ,FL,19739,19487,-1.29,-25.0,-4.51,-2.96,33.33333333,25.0,4,10,2,21.17,3,0,15,1,,125234.64,15.65,0,0.0,14.2,31.6,0,17.19,21.49,35202.0,25.9,0,34.9,0.0,-23.56412217,-1.867014594
349, Florida,Indian River ,FL,140650,151563,7.2,16.67,18.86,10.24,2.631578947,15.84158416,78,117,14,119.75,28,3,64,12,,231429.05,15.65,3,0.0,11.4,24.5,19,27.17,18.8,49887.0,13.0,0,22.5,0.0,-31.75502292,-1.867014594
350, Florida,Jackson ,FL,49011,48229,-1.62,-27.27,5.68,7.3,-6.896551724,-7.407407407000001,27,25,10,52.75,8,1,32,4,,218293.97,15.65,1,0.0,12.4,34.7,1,15.68,19.92,36751.0,22.5,0,31.8,0.0,-25.59049781,-1.867014594
351, Florida,Jefferson ,FL,14204,13906,-2.14,50.0,3.27,5.87,-25.0,25.0,6,5,2,18.42,3,0,20,2,,125898.7,15.65,1,0.0,11.7,32.2,0,16.48,18.62,42210.0,19.4,0,30.9,0.0,-24.08389887,-1.867014594
352, Florida,Lafayette ,FL,8811,8617,-2.25,0.0,-21.93,-20.24,0.0,0.0,2,2,1,7.42,1,0,4,0,,112917.62,15.65,1,0.0,13.2,35.3,0,12.22,20.12,40345.0,23.8,0,29.5,0.0,20.05464251,-1.867014594
353, Florida,Lake ,FL,303437,335396,9.53,-18.0,5.5,-4.64,2.173913043,1.463414634,141,208,32,262.33,41,7,144,18,,258377.33,15.65,4,1.0,14.7,29.3,29,24.18,20.78,49711.0,12.8,0,20.9,0.0,-18.074907999999997,-1.867014594
354, Florida,Lee ,FL,644096,722336,10.83,-2.52,8.73,-2.87,17.16171617,13.55932203,355,603,72,511.83,116,16,258,48,,271508.09,15.65,13,2.0,9.9,24.6,46,23.45,19.53,50713.0,15.9,0,25.2,0.0,-26.78197568,-1.867014594
355, Florida,Leon ,FL,283808,287822,1.39,0.0,8.63,7.1,15.45454546,5.339805825,254,217,27,233.92,41,7,123,25,,278426.43,15.65,11,1.0,8.3,26.4,32,9.43,19.59,46405.0,21.8,0,22.3,0.0,-19.61425604,-1.867014594
356, Florida,Levy ,FL,39935,39961,0.07,-10.0,6.81,6.99,-5.555555556,4.166666667,17,25,7,60.08,9,1,30,0,,223484.41,15.65,1,0.0,14.1,32.2,1,19.4,21.15,36005.0,22.1,0,35.3,0.0,-25.99610202,-1.867014594
357, Florida,Liberty ,FL,8247,8202,-0.55,200.0,48.28,49.61,-100.0,300.0,0,4,1,10.75,3,0,5,0,,101996.49,15.65,0,0.0,13.4,39.6,0,10.62,21.24,39623.0,22.6,0,29.9,0.0,-47.57983137,-1.867014594
358, Florida,Madison ,FL,18939,18224,-3.92,0.0,2.95,6.81,50.0,-33.33333333,9,6,3,26.17,3,0,17,0,,153719.36,15.65,1,0.0,15.6,34.1,1,15.84,21.78,34360.0,27.0,1,36.9,0.0,-22.34957713,-1.867014594
359, Florida,Manatee ,FL,334096,375888,11.12,-16.67,12.56,-0.02,13.20754717,26.168224300000002,180,270,36,268.92,50,8,132,26,,261213.02,15.65,3,1.0,10.6,25.3,29,23.27,20.53,50728.0,14.8,0,24.2,0.0,-35.8499985,-1.867014594
360, Florida,Marion ,FL,334294,349020,4.22,3.77,-0.79,-4.74,5.882352941000001,5.389221557000001,162,176,40,336.67,55,6,182,18,,278183.78,15.65,3,0.0,12.6,29.2,16,25.75,19.37,40053.0,18.7,0,31.9,0.0,-17.74682621,-1.867014594
361, Florida,Martin ,FL,148945,158701,6.15,10.0,16.98,9.69,7.291666667,10.625,103,177,18,114.83,33,2,73,10,,175271.12,15.65,1,0.0,11.3,21.3,17,27.32,17.6,53459.0,11.2,0,18.1,0.0,-33.05077991,-1.867014594
362, Florida,Miami-Dade ,FL,2607979,2712945,3.87,15.1,-2.63,-7.0,14.68531469,20.10644589,1640,2031,250,1513.33,663,23,880,257,,661416.13,15.65,35,13.0,7.9,21.0,265,14.1,21.86,43687.0,20.0,0,27.3,0.0,-2.397170176,-1.867014594
363, Florida,Monroe ,FL,74833,79077,5.37,-7.69,22.96,16.32,-1.408450704,16.12903226,70,216,10,72.75,24,0,60,16,,139873.6,15.65,1,0.0,8.6,22.0,17,17.06,15.05,58332.0,11.3,0,18.8,0.0,-38.99288279,-1.867014594
364, Florida,Nassau ,FL,74638,80622,7.42,-10.0,13.48,5.04,4.255319149,22.22222222,49,66,10,70.17,9,1,44,6,,145566.33,15.65,2,0.0,10.8,28.6,6,16.24,21.71,55707.0,10.8,0,16.0,0.0,-34.56519986,-1.867014594
365, Florida,Okaloosa ,FL,190254,201170,5.43,-14.29,26.9,19.9,4.929577465,11.60220995,149,202,22,160.42,24,5,103,7,,202098.34,15.65,4,1.0,9.7,26.4,19,13.95,22.34,55391.0,11.3,0,18.7,0.0,-29.23558055,-1.867014594
