,FIPS,State,County,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16"
221,6071,CA,San Bernardino,11.25,8.2
222,6073,CA,San Diego,7.78,3.21
223,6075,CA,San Francisco,-7.11,-11.92
224,6077,CA,San Joaquin,8.79,4.18
225,6079,CA,San Luis Obispo,13.78,10.53
226,6081,CA,San Mateo,7.05,3.48
227,6083,CA,Santa Barbara,9.15,5.5
228,6085,CA,Santa Clara,6.24,1.71
229,6087,CA,Santa Cruz,14.29,11.0
230,6089,CA,Shasta,12.95,12.29
231,6091,CA,Sierra,20.83,26.53
232,6093,CA,Siskiyou,27.25,28.86
233,6095,CA,Solano,8.47,3.68
234,6097,CA,Sonoma,10.03,7.57
235,6099,CA,Stanislaus,3.72,-0.08
236,6101,CA,Sutter,-9.93,-11.45
237,6103,CA,Tehama,11.33,11.56
238,6105,CA,Trinity,42.55,50.85
239,6107,CA,Tulare,6.87,4.91
240,6109,CA,Tuolumne,12.12,12.55
241,6111,CA,Ventura,8.59,6.83
242,6113,CA,Yolo,13.13,7.01
243,6115,CA,Yuba,2.45,-0.75
244,8001,CO,Adams,7.45,-0.87
245,8003,CO,Alamosa,-5.41,-8.28
246,8005,CO,Arapahoe,9.48,2.35
247,8007,CO,Archuleta,40.78,32.19
248,8009,CO,Baca,-10.14,-5.54
249,8011,CO,Bent,-28.57,-29.64
250,8013,CO,Boulder,11.9,6.02
251,8014,CO,Broomfield,3.2,-9.57
252,8015,CO,Chaffee,-0.56,-5.3
253,8017,CO,Cheyenne,0.0,1.41
254,8019,CO,Clear Creek,56.25,49.46
255,8021,CO,Conejos,-25.47,-24.13
256,8023,CO,Costilla,-18.84,-21.61
257,8025,CO,Crowley,70.83,60.96
258,8027,CO,Custer,-7.69,-14.77
259,8029,CO,Delta,14.57,14.53
260,8031,CO,Denver,-0.52,-8.95
261,8033,CO,Dolores,100.0,93.97
262,8035,CO,Douglas,11.8,1.46
263,8037,CO,Eagle,17.65,13.04
264,8039,CO,Elbert,-23.4,-29.01
265,8041,CO,El Paso,10.86,3.88
266,8043,CO,Fremont,-0.33,-1.71
267,8045,CO,Garfield,22.97,18.93
268,8047,CO,Gilpin,-72.09,-74.16
269,8049,CO,Grand,9.01,3.1
270,8051,CO,Gunnison,-6.5,-11.82
271,8053,CO,Hinsdale,,
272,8055,CO,Huerfano,-8.96,-10.06
273,8057,CO,Jackson,100.0,98.67
274,8059,CO,Jefferson,9.47,4.4
275,8061,CO,Kiowa,16.67,22.7
276,8063,CO,Kit Carson,-11.67,-12.76
277,8065,CO,Lake,2.74,-1.04
278,8067,CO,La Plata,18.15,11.3
279,8069,CO,Larimer,5.42,-3.72
280,8071,CO,Las Animas,-4.76,0.92
281,8073,CO,Lincoln,-12.5,-15.45
282,8075,CO,Logan,-11.86,-9.0
283,8077,CO,Mesa,16.64,14.91
284,8079,CO,Mineral,0.0,-3.14
285,8081,CO,Moffat,-7.89,-7.26
286,8083,CO,Montezuma,46.36,37.86
287,8085,CO,Montrose,9.64,7.67
288,8087,CO,Morgan,7.47,8.23
289,8089,CO,Otero,-11.32,-9.37
290,8091,CO,Ouray,12.5,4.93
291,8093,CO,Park,-25.0,-29.97
292,8095,CO,Phillips,5.88,7.83
293,8097,CO,Pitkin,-6.25,-8.83
294,8099,CO,Prowers,-7.1,-3.46
295,8101,CO,Pueblo,-1.41,-3.96
296,8103,CO,Rio Blanco,50.0,57.15
297,8105,CO,Rio Grande,10.49,14.96
298,8107,CO,Routt,5.41,-0.21
299,8109,CO,Saguache,-27.1,-28.07
300,8111,CO,San Juan,0.0,-0.58
301,8113,CO,San Miguel,15.38,9.1
302,8115,CO,Sedgwick,0.0,-1.0
303,8117,CO,Summit,26.21,16.53
304,8119,CO,Teller,25.16,21.75
305,8121,CO,Washington,60.0,55.37
306,8123,CO,Weld,4.69,-6.4
307,8125,CO,Yuma,-10.94,-10.8
308,9001,CT,Fairfield,2.04,0.92
309,9003,CT,Hartford,5.18,5.75
310,9005,CT,Litchfield,11.82,14.86
311,9007,CT,Middlesex,17.9,19.55
312,9009,CT,New Haven,1.86,2.57
313,9011,CT,New London,4.04,5.73
314,9013,CT,Tolland,7.57,7.87
315,9015,CT,Windham,10.15,11.49
316,10001,DE,Kent,0.93,-3.23
317,10003,DE,New Castle,4.29,2.25
318,10005,DE,Sussex,7.87,-0.38
319,11001,DC,District of Columbia,-0.86,-7.97
320,12001,FL,Alachua,5.79,0.94
321,12003,FL,Baker,44.03,39.64
322,12005,FL,Bay,17.79,10.06
323,12007,FL,Bradford,14.17,14.69
324,12009,FL,Brevard,3.94,-1.77
325,12011,FL,Broward,5.58,0.35
326,12013,FL,Calhoun,-11.11,-9.26
327,12015,FL,Charlotte,2.3,-6.88
328,12017,FL,Citrus,6.9,3.73
329,12019,FL,Clay,1.74,-5.08
330,12021,FL,Collier,2.92,-6.3
331,12023,FL,Columbia,4.48,2.47
332,12027,FL,DeSoto,-4.83,-7.72
333,12029,FL,Dixie,-9.54,-10.51
334,12031,FL,Duval,3.24,-1.96
335,12033,FL,Escambia,5.89,1.7
336,12035,FL,Flagler,11.82,1.55
337,12037,FL,Franklin,-3.76,-5.49
338,12039,FL,Gadsden,0.0,1.13
339,12041,FL,Gilchrist,9.88,7.35
340,12043,FL,Glades,37.08,28.61
341,12045,FL,Gulf,2.31,0.57
342,12047,FL,Hamilton,11.89,14.6
343,12049,FL,Hardee,-3.54,-3.0
344,12051,FL,Hendry,31.87,25.68
345,12053,FL,Hernando,16.19,10.21
346,12055,FL,Highlands,0.79,-2.0
347,12057,FL,Hillsborough,0.23,-6.94
348,12059,FL,Holmes,-4.51,-2.96
349,12061,FL,Indian River,18.86,10.24
350,12063,FL,Jackson,5.68,7.3
351,12065,FL,Jefferson,3.27,5.87
352,12067,FL,Lafayette,-21.93,-20.24
353,12069,FL,Lake,5.5,-4.64
354,12071,FL,Lee,8.73,-2.87
355,12073,FL,Leon,8.63,7.1
356,12075,FL,Levy,6.81,6.99
357,12077,FL,Liberty,48.28,49.61
358,12079,FL,Madison,2.95,6.81
359,12081,FL,Manatee,12.56,-0.02
360,12083,FL,Marion,-0.79,-4.74
361,12085,FL,Martin,16.98,9.69
362,12086,FL,Miami-Dade,-2.63,-7.0
363,12087,FL,Monroe,22.96,16.32
364,12089,FL,Nassau,13.48,5.04
365,12091,FL,Okaloosa,26.9,19.9
366,12093,FL,Okeechobee,8.54,6.26
367,12095,FL,Orange,7.72,-1.47
368,12097,FL,Osceola,10.74,-5.28
369,12099,FL,Palm Beach,7.58,1.08
370,12101,FL,Pasco,0.61,-7.63
371,12103,FL,Pinellas,-0.29,-4.38
372,12105,FL,Polk,0.26,-7.26
373,12107,FL,Putnam,-1.36,-0.02
374,12109,FL,St. Johns,12.84,-2.95
375,12111,FL,St. Lucie,13.74,5.34
376,12113,FL,Santa Rosa,12.03,4.15
377,12115,FL,Sarasota,2.92,-3.68
378,12117,FL,Seminole,1.05,-4.41
379,12119,FL,Sumter,7.66,-11.77
380,12121,FL,Suwannee,5.22,4.89
381,12123,FL,Taylor,3.84,6.5
382,12125,FL,Union,-5.26,-4.83
383,12127,FL,Volusia,2.92,-3.39
384,12129,FL,Wakulla,11.08,7.33
385,12131,FL,Walton,25.57,9.74
386,12133,FL,Washington,-13.58,-12.44
387,13001,GA,Appling,0.34,0.01
388,13003,GA,Atkinson,-21.69,-21.58
389,13005,GA,Bacon,-6.67,-8.09
390,13007,GA,Baker,-11.11,-5.02
391,13009,GA,Baldwin,12.92,15.98
392,13011,GA,Banks,1.49,1.05
393,13013,GA,Barrow,4.02,-5.36
394,13015,GA,Bartow,-2.18,-5.14
395,13017,GA,Ben Hill,-6.55,-4.95
396,13019,GA,Berrien,-15.97,-15.75
397,13021,GA,Bibb,5.69,8.26
398,13023,GA,Bleckley,-6.7,-7.11
399,13025,GA,Brantley,28.31,29.93
400,13027,GA,Brooks,-9.73,-11.37
401,13029,GA,Bryan,15.51,2.7
402,13031,GA,Bulloch,4.37,1.54
403,13033,GA,Burke,-2.49,-0.61
404,13035,GA,Butts,17.18,15.74
405,13037,GA,Calhoun,-6.19,-3.52
406,13039,GA,Camden,-1.81,-4.79
407,13043,GA,Candler,36.96,39.56
408,13045,GA,Carroll,1.73,-2.37
409,13047,GA,Catoosa,6.29,4.13
410,13049,GA,Charlton,1.54,8.02
411,13051,GA,Chatham,24.87,19.4
412,13053,GA,Chattahoochee,25.0,49.21
413,13055,GA,Chattooga,-5.95,-2.54
414,13057,GA,Cherokee,10.33,1.03
415,13059,GA,Clarke,3.99,0.28
416,13061,GA,Clay,11.11,14.64
417,13063,GA,Clayton,-1.11,-5.92
418,13065,GA,Clinch,2.9,1.23
419,13067,GA,Cobb,5.11,-0.61
420,13069,GA,Coffee,-4.55,-4.19
421,13071,GA,Colquitt,26.0,27.19
422,13073,GA,Columbia,21.18,8.17
423,13075,GA,Cook,0.65,-0.78
424,13077,GA,Coweta,0.35,-6.51
425,13079,GA,Crawford,3.31,5.64
426,13081,GA,Crisp,6.33,10.47
427,13083,GA,Dade,4.85,6.36
428,13085,GA,Dawson,2.75,-2.4
429,13087,GA,Decatur,10.04,12.86
430,13089,GA,DeKalb,1.49,-3.06
431,13091,GA,Dodge,2.68,6.51
432,13093,GA,Dooly,-4.59,-0.74
433,13095,GA,Dougherty,3.13,8.26
434,13097,GA,Douglas,-3.59,-9.18
435,13099,GA,Early,-18.65,-16.64
436,13101,GA,Echols,16.67,17.43
437,13103,GA,Effingham,11.53,1.24
438,13105,GA,Elbert,7.35,10.38
439,13107,GA,Emanuel,4.43,5.64
440,13109,GA,Evans,11.86,12.06
441,13111,GA,Fannin,-5.96,-11.28
442,13113,GA,Fayette,-1.35,-4.97
443,13115,GA,Floyd,-6.74,-7.11
444,13117,GA,Forsyth,17.91,0.26
445,13119,GA,Franklin,8.97,6.89
446,13121,GA,Fulton,-3.34,-7.65
447,13123,GA,Gilmer,29.39,22.67
448,13125,GA,Glascock,5.26,10.03
449,13127,GA,Glynn,4.89,0.57
450,13129,GA,Gordon,2.67,0.61
451,13131,GA,Grady,-11.43,-9.17
452,13133,GA,Greene,1.81,-3.64
453,13135,GA,Gwinnett,4.96,-2.57
454,13137,GA,Habersham,12.83,10.98
455,13139,GA,Hall,-2.34,-7.91
456,13141,GA,Hancock,-21.26,-18.01
457,13143,GA,Haralson,3.42,1.13
458,13145,GA,Harris,26.11,21.98
459,13147,GA,Hart,-7.28,-7.41
460,13149,GA,Heard,-19.35,-18.33
461,13151,GA,Henry,11.57,5.17
462,13153,GA,Houston,20.19,15.46
463,13155,GA,Irwin,-10.74,-9.06
464,13157,GA,Jackson,20.19,12.67
465,13159,GA,Jasper,4.5,4.32
466,13161,GA,Jeff Davis,-4.71,-2.92
467,13163,GA,Jefferson,-9.44,-6.5
468,13165,GA,Jenkins,22.56,27.6
469,13167,GA,Johnson,5.11,9.44
470,13169,GA,Jones,-7.92,-8.07
471,13171,GA,Lamar,1.39,-0.87
472,13173,GA,Lanier,-3.82,-3.81
473,13175,GA,Laurens,2.78,3.91
474,13177,GA,Lee,43.87,40.98
475,13179,GA,Liberty,12.4,17.61
476,13181,GA,Lincoln,16.67,15.31
477,13183,GA,Long,-17.24,-27.96
478,13185,GA,Lowndes,11.0,10.93
479,13187,GA,Lumpkin,8.15,5.29
480,13189,GA,McDuffie,8.2,9.07
481,13191,GA,McIntosh,5.0,4.34
482,13193,GA,Macon,-4.81,0.94
483,13195,GA,Madison,7.59,4.22
484,13197,GA,Marion,-0.83,1.34
485,13199,GA,Meriwether,-3.82,-2.92
486,13201,GA,Miller,-12.88,-12.25
487,13205,GA,Mitchell,-19.12,-16.65
488,13207,GA,Monroe,3.13,0.61
489,13209,GA,Montgomery,-17.59,-18.93
490,13211,GA,Morgan,21.86,19.92
491,13213,GA,Murray,7.59,7.8
492,13215,GA,Muscogee,17.43,17.98
493,13217,GA,Newton,10.79,5.1
494,13219,GA,Oconee,-1.57,-10.17
495,13221,GA,Oglethorpe,-17.89,-19.55
496,13223,GA,Paulding,17.18,8.89
497,13225,GA,Peach,-9.93,-6.66
498,13227,GA,Pickens,0.32,-4.77
499,13229,GA,Pierce,-10.03,-11.56
500,13231,GA,Pike,7.81,7.03
501,13233,GA,Polk,-3.14,-4.5
502,13235,GA,Pulaski,-15.79,-12.28
503,13237,GA,Putnam,29.5,27.81
504,13239,GA,Quitman,-64.18,-63.12
505,13241,GA,Rabun,-12.89,-14.27
506,13243,GA,Randolph,46.09,49.14
507,13245,GA,Richmond,2.72,3.2
508,13247,GA,Rockdale,5.44,1.27
509,13249,GA,Schley,-50.0,-51.06
510,13251,GA,Screven,-5.11,-4.04
511,13253,GA,Seminole,-31.37,-27.49
512,13255,GA,Spalding,10.33,8.72
513,13257,GA,Stephens,2.26,2.82
514,13259,GA,Stewart,37.1,45.2
515,13261,GA,Sumter,3.62,7.6
516,13263,GA,Talbot,-13.58,-8.73
517,13265,GA,Taliaferro,-13.89,-9.19
518,13267,GA,Tattnall,-9.34,-8.28
519,13269,GA,Taylor,9.86,12.37
520,13271,GA,Telfair,11.79,14.48
521,13273,GA,Terrell,-20.11,-19.41
522,13275,GA,Thomas,-1.88,-3.02
523,13277,GA,Tift,4.99,5.6
524,13279,GA,Toombs,-7.84,-7.44
525,13281,GA,Towns,29.73,19.53
526,13283,GA,Treutlen,17.36,19.69
527,13285,GA,Troup,25.58,22.83
528,13287,GA,Turner,29.89,36.03
529,13289,GA,Twiggs,27.83,32.14
530,13291,GA,Union,5.41,-1.38
531,13293,GA,Upson,16.98,18.29
532,13295,GA,Walker,-5.23,-4.95
533,13297,GA,Walton,12.3,5.32
534,13299,GA,Ware,2.02,2.26
535,13301,GA,Warren,-5.61,-3.25
536,13303,GA,Washington,24.39,26.96
537,13305,GA,Wayne,-10.24,-9.65
538,13307,GA,Webster,-50.0,-46.27
539,13309,GA,Wheeler,-20.0,-20.9
540,13311,GA,White,-7.52,-11.77
541,13313,GA,Whitfield,-3.0,-4.14
542,13315,GA,Wilcox,42.5,47.49
543,13317,GA,Wilkes,21.95,25.32
544,13319,GA,Wilkinson,-13.0,-8.48
545,13321,GA,Worth,2.03,6.92
546,15001,HI,Hawaii,3.42,-1.41
547,15003,HI,Honolulu,-3.89,-5.46
548,15005,HI,Kalawao,,
549,15007,HI,Kauai,-1.42,-6.34
550,15009,HI,Maui,24.78,19.38
551,16001,ID,Ada,7.4,-1.06
552,16003,ID,Adams,-26.15,-25.87
553,16005,ID,Bannock,9.22,8.47
554,16007,ID,Bear Lake,-20.0,-20.51
555,16009,ID,Benewah,23.33,23.67
556,16011,ID,Bingham,28.89,29.67
557,16013,ID,Blaine,20.48,16.92
558,16015,ID,Boise,21.52,16.59
559,16017,ID,Bonner,-14.06,-18.22
560,16019,ID,Bonneville,24.4,18.25
561,16021,ID,Boundary,17.72,8.92
562,16023,ID,Butte,0.0,9.56
563,16025,ID,Camas,0.0,0.47
564,16027,ID,Canyon,7.4,-1.64
565,16029,ID,Caribou,-18.33,-19.52
566,16031,ID,Cassia,38.53,37.03
567,16033,ID,Clark,,
568,16035,ID,Clearwater,-25.0,-24.18
569,16037,ID,Custer,30.91,38.42
570,16039,ID,Elmore,-10.82,-10.12
571,16041,ID,Franklin,-33.33,-36.42
572,16043,ID,Fremont,48.61,48.77
573,16045,ID,Gem,2.82,-0.23
574,16047,ID,Gooding,5.56,6.29
575,16049,ID,Idaho,8.43,9.45
576,16051,ID,Jefferson,-13.25,-16.85
577,16053,ID,Jerome,53.54,50.24
578,16055,ID,Kootenai,14.81,5.91
579,16057,ID,Latah,16.1,13.1
580,16059,ID,Lemhi,17.81,18.34
581,16061,ID,Lewis,22.92,24.07
582,16063,ID,Lincoln,104.17,104.4
583,16065,ID,Madison,-27.56,-30.52
584,16067,ID,Minidoka,0.0,-2.81
585,16069,ID,Nez Perce,36.07,33.25
586,16071,ID,Oneida,33.33,29.4
587,16073,ID,Owyhee,23.23,23.77
588,16075,ID,Payette,7.28,5.48
589,16077,ID,Power,25.0,27.03
590,16079,ID,Shoshone,49.55,52.55
591,16081,ID,Teton,54.84,42.01
592,16083,ID,Twin Falls,32.79,24.97
593,16085,ID,Valley,37.35,24.9
594,16087,ID,Washington,-4.0,-4.69
595,17001,IL,Adams,-3.36,-2.46
596,17003,IL,Alexander,8.33,29.57
597,17005,IL,Bond,-12.62,-8.36
598,17007,IL,Boone,17.34,18.3
599,17009,IL,Brown,0.0,2.25
600,17011,IL,Bureau,-11.96,-9.42
601,17013,IL,Calhoun,-40.0,-38.53
602,17015,IL,Carroll,18.4,22.24
603,17017,IL,Cass,-3.23,1.83
604,17019,IL,Champaign,11.55,8.8
605,17021,IL,Christian,5.32,9.52
606,17023,IL,Clark,-2.52,-0.86
607,17025,IL,Clay,-19.34,-16.51
608,17027,IL,Clinton,4.56,5.48
609,17029,IL,Coles,4.84,7.47
610,17031,IL,Cook,-7.21,-6.71
611,17033,IL,Crawford,4.05,5.62
612,17035,IL,Cumberland,19.79,21.01
613,17037,IL,DeKalb,20.92,21.13
614,17039,IL,De Witt,6.51,7.87
615,17041,IL,Douglas,19.23,20.59
616,17043,IL,DuPage,8.84,8.68
617,17045,IL,Edgar,16.67,20.82
618,17047,IL,Edwards,25.0,28.09
619,17049,IL,Effingham,21.6,21.49
620,17051,IL,Fayette,-5.74,-4.77
621,17053,IL,Ford,4.73,8.07
622,17055,IL,Franklin,5.92,6.6
623,17057,IL,Fulton,2.92,6.14
624,17059,IL,Gallatin,-75.0,-73.95
625,17061,IL,Greene,7.14,11.1
626,17063,IL,Grundy,10.63,10.28
627,17065,IL,Hamilton,-2.04,1.71
628,17067,IL,Hancock,-13.5,-11.71
629,17069,IL,Hardin,-68.75,-66.93
630,17071,IL,Henderson,-1.64,0.85
631,17073,IL,Henry,8.71,10.64
632,17075,IL,Iroquois,7.32,10.75
633,17077,IL,Jackson,21.65,24.14
634,17079,IL,Jasper,-2.35,-1.55
