,FIPS,State,County,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16
116,5011,AR,Bradley,-29.61176047,-3.204842952
117,5013,AR,Calhoun,-32.07959281,-3.204842952
118,5015,AR,Carroll,-30.51271652,-3.204842952
119,5017,AR,Chicot,-41.55924168,-3.204842952
120,5019,AR,Clark,-45.51310777,-3.204842952
121,5021,AR,Clay,-12.45915523,-3.204842952
122,5023,AR,Cleburne,-37.39882631,-3.204842952
123,5025,AR,Cleveland,-26.02396481,-3.204842952
124,5027,AR,Columbia,-28.81223977,-3.204842952
125,5029,AR,Conway,-42.12234755,-3.204842952
126,5031,AR,Craighead,-28.24129623,-3.204842952
127,5033,AR,Crawford,-32.65591896,-3.204842952
128,5035,AR,Crittenden,-28.38380405,-3.204842952
129,5037,AR,Cross,-26.238262300000002,-3.204842952
130,5039,AR,Dallas,-38.18720263,-3.204842952
131,5041,AR,Desha,-23.80183221,-3.204842952
132,5043,AR,Drew,-40.12891162,-3.204842952
133,5045,AR,Faulkner,-32.33891682,-3.204842952
134,5047,AR,Franklin,-46.01547921,-3.204842952
135,5049,AR,Fulton,-35.71545406,-3.204842952
136,5051,AR,Garland,-33.44572192,-3.204842952
137,5053,AR,Grant,-38.66966864,-3.204842952
138,5055,AR,Greene,-38.050337799999994,-3.204842952
139,5057,AR,Hempstead,-39.95053859,-3.204842952
140,5059,AR,Hot Spring,-19.16990522,-3.204842952
141,5061,AR,Howard,-53.46426083,-3.204842952
142,5063,AR,Independence,-23.05743953,-3.204842952
143,5065,AR,Izard,-14.32429837,-3.204842952
144,5067,AR,Jackson,-36.33100593,-3.204842952
145,5069,AR,Jefferson,-26.81629647,-3.204842952
146,5071,AR,Johnson,-33.74195007,-3.204842952
147,5073,AR,Lafayette,-11.17256775,-3.204842952
148,5075,AR,Lawrence,-17.57613807,-3.204842952
149,5077,AR,Lee,-28.15344051,-3.204842952
150,5079,AR,Lincoln,-47.08067865,-3.204842952
151,5081,AR,Little River,-31.49317151,-3.204842952
152,5083,AR,Logan,-32.46659034,-3.204842952
153,5085,AR,Lonoke,-41.22485993,-3.204842952
154,5087,AR,Madison,-17.37374627,-3.204842952
155,5089,AR,Marion,-29.37928892,-3.204842952
156,5091,AR,Miller,-43.809732200000006,-3.204842952
157,5093,AR,Mississippi,-21.08726713,-3.204842952
158,5095,AR,Monroe,-17.38621655,-3.204842952
159,5097,AR,Montgomery,-28.61423159,-3.204842952
160,5099,AR,Nevada,-7.940540744,-3.204842952
161,5101,AR,Newton,-26.53751614,-3.204842952
162,5103,AR,Ouachita,-42.24943131,-3.204842952
163,5105,AR,Perry,0.681961466,-3.204842952
164,5107,AR,Phillips,-26.728283100000002,-3.204842952
165,5109,AR,Pike,-33.2691171,-3.204842952
166,5111,AR,Poinsett,-24.21091617,-3.204842952
167,5113,AR,Polk,-29.38888926,-3.204842952
168,5115,AR,Pope,-31.61119534,-3.204842952
169,5117,AR,Prairie,-17.84569876,-3.204842952
170,5119,AR,Pulaski,-35.89527054,-3.204842952
171,5121,AR,Randolph,-39.63728731,-3.204842952
172,5123,AR,St. Francis,-31.25875971,-3.204842952
173,5125,AR,Saline,-40.00585561,-3.204842952
174,5127,AR,Scott,-32.20787632,-3.204842952
175,5129,AR,Searcy,-16.20022153,-3.204842952
176,5131,AR,Sebastian,-27.44325922,-3.204842952
177,5133,AR,Sevier,-30.330110100000002,-3.204842952
178,5135,AR,Sharp,-11.76667881,-3.204842952
179,5137,AR,Stone,-21.63465384,-3.204842952
180,5139,AR,Union,-16.94089115,-3.204842952
181,5141,AR,Van Buren,-41.50875702,-3.204842952
182,5143,AR,Washington,-46.23989964,-3.204842952
183,5145,AR,White,-29.93099366,-3.204842952
184,5147,AR,Woodruff,-42.99112371,-3.204842952
185,5149,AR,Yell,-45.05658404,-3.204842952
186,6001,CA,Alameda,-15.69696662,0.487399455
187,6003,CA,Alpine,,0.487399455
188,6005,CA,Amador,-17.23837926,0.487399455
189,6007,CA,Butte,-5.535552629,0.487399455
190,6009,CA,Calaveras,-22.94852173,0.487399455
191,6011,CA,Colusa,-23.07660958,0.487399455
192,6013,CA,Contra Costa,-15.03860292,0.487399455
193,6015,CA,Del Norte,0.589280013,0.487399455
194,6017,CA,El Dorado,-19.69711037,0.487399455
195,6019,CA,Fresno,-3.1749093389999996,0.487399455
196,6021,CA,Glenn,-17.87726677,0.487399455
197,6023,CA,Humboldt,9.597918842,0.487399455
198,6025,CA,Imperial,-3.375168097,0.487399455
199,6027,CA,Inyo,1.926635232,0.487399455
200,6029,CA,Kern,0.588469045,0.487399455
201,6031,CA,Kings,-8.005161359,0.487399455
202,6033,CA,Lake,-7.295489601,0.487399455
203,6035,CA,Lassen,-1.106398245,0.487399455
204,6037,CA,Los Angeles,-4.417471645,0.487399455
205,6039,CA,Madera,-3.065288339,0.487399455
206,6041,CA,Marin,-10.24347046,0.487399455
207,6043,CA,Mariposa,41.82255309,0.487399455
208,6045,CA,Mendocino,-13.27353911,0.487399455
209,6047,CA,Merced,-7.98402679,0.487399455
210,6049,CA,Modoc,-1.689032965,0.487399455
211,6051,CA,Mono,-29.58637958,0.487399455
212,6053,CA,Monterey,-1.001354753,0.487399455
213,6055,CA,Napa,-24.73068265,0.487399455
214,6057,CA,Nevada,-8.317096894,0.487399455
215,6059,CA,Orange,-8.775690523,0.487399455
216,6061,CA,Placer,-20.59502566,0.487399455
217,6063,CA,Plumas,5.510954872,0.487399455
218,6065,CA,Riverside,-13.49699204,0.487399455
219,6067,CA,Sacramento,-10.10301157,0.487399455
220,6069,CA,San Benito,-32.63323153,0.487399455
221,6071,CA,San Bernardino,-9.441517049,0.487399455
222,6073,CA,San Diego,-5.81146825,0.487399455
223,6075,CA,San Francisco,-2.060267404,0.487399455
224,6077,CA,San Joaquin,-11.11495912,0.487399455
225,6079,CA,San Luis Obispo,-16.02836544,0.487399455
226,6081,CA,San Mateo,-13.48356141,0.487399455
227,6083,CA,Santa Barbara,-1.9813373840000001,0.487399455
228,6085,CA,Santa Clara,-17.53684874,0.487399455
229,6087,CA,Santa Cruz,-7.206254361,0.487399455
230,6089,CA,Shasta,-22.27671802,0.487399455
231,6091,CA,Sierra,,0.487399455
232,6093,CA,Siskiyou,-23.53392529,0.487399455
233,6095,CA,Solano,-11.12245618,0.487399455
234,6097,CA,Sonoma,-19.11123298,0.487399455
235,6099,CA,Stanislaus,-10.756105900000001,0.487399455
236,6101,CA,Sutter,8.38298878,0.487399455
237,6103,CA,Tehama,-17.16038893,0.487399455
238,6105,CA,Trinity,-20.38601568,0.487399455
239,6107,CA,Tulare,-3.784938115,0.487399455
240,6109,CA,Tuolumne,-14.98712867,0.487399455
241,6111,CA,Ventura,-2.1317142280000003,0.487399455
242,6113,CA,Yolo,-8.19041431,0.487399455
243,6115,CA,Yuba,-7.993870162,0.487399455
244,8001,CO,Adams,-27.44452499,-0.962802919
245,8003,CO,Alamosa,-0.197677011,-0.962802919
246,8005,CO,Arapahoe,-9.35552514,-0.962802919
247,8007,CO,Archuleta,-19.96114291,-0.962802919
248,8009,CO,Baca,48.5822113,-0.962802919
249,8011,CO,Bent,44.59131901,-0.962802919
250,8013,CO,Boulder,-27.031256,-0.962802919
251,8014,CO,Broomfield,-10.02448483,-0.962802919
252,8015,CO,Chaffee,-19.41879995,-0.962802919
253,8017,CO,Cheyenne,,-0.962802919
254,8019,CO,Clear Creek,-38.48526119,-0.962802919
255,8021,CO,Conejos,8.656207441,-0.962802919
256,8023,CO,Costilla,7.115915349,-0.962802919
257,8025,CO,Crowley,,-0.962802919
258,8027,CO,Custer,,-0.962802919
259,8029,CO,Delta,-15.16600025,-0.962802919
260,8031,CO,Denver,-25.83275779,-0.962802919
261,8033,CO,Dolores,,-0.962802919
262,8035,CO,Douglas,-29.53015091,-0.962802919
263,8037,CO,Eagle,-43.52901171,-0.962802919
264,8039,CO,Elbert,,-0.962802919
265,8041,CO,El Paso,-13.87934399,-0.962802919
266,8043,CO,Fremont,6.465246901,-0.962802919
267,8045,CO,Garfield,-39.46137336,-0.962802919
268,8047,CO,Gilpin,,-0.962802919
269,8049,CO,Grand,-22.77085715,-0.962802919
270,8051,CO,Gunnison,7.743414453,-0.962802919
271,8053,CO,Hinsdale,,-0.962802919
272,8055,CO,Huerfano,19.57363229,-0.962802919
273,8057,CO,Jackson,,-0.962802919
274,8059,CO,Jefferson,-16.7829642,-0.962802919
275,8061,CO,Kiowa,,-0.962802919
276,8063,CO,Kit Carson,6.885098834,-0.962802919
277,8065,CO,Lake,-17.68280444,-0.962802919
278,8067,CO,La Plata,-23.97560894,-0.962802919
279,8069,CO,Larimer,-23.61358673,-0.962802919
280,8071,CO,Las Animas,15.6773096,-0.962802919
281,8073,CO,Lincoln,16.61274918,-0.962802919
282,8075,CO,Logan,2.231486861,-0.962802919
283,8077,CO,Mesa,-12.39509282,-0.962802919
284,8079,CO,Mineral,,-0.962802919
285,8081,CO,Moffat,-9.794963367000001,-0.962802919
286,8083,CO,Montezuma,-26.23235012,-0.962802919
287,8085,CO,Montrose,-27.34980277,-0.962802919
288,8087,CO,Morgan,-18.77349641,-0.962802919
289,8089,CO,Otero,16.39144848,-0.962802919
290,8091,CO,Ouray,,-0.962802919
291,8093,CO,Park,22.09502377,-0.962802919
292,8095,CO,Phillips,,-0.962802919
293,8097,CO,Pitkin,-3.003015495,-0.962802919
294,8099,CO,Prowers,0.7632796070000001,-0.962802919
295,8101,CO,Pueblo,-0.291156992,-0.962802919
296,8103,CO,Rio Blanco,-40.93689577,-0.962802919
297,8105,CO,Rio Grande,-12.095168699999999,-0.962802919
298,8107,CO,Routt,-11.04858841,-0.962802919
299,8109,CO,Saguache,-41.80927617,-0.962802919
300,8111,CO,San Juan,,-0.962802919
301,8113,CO,San Miguel,-47.48237677,-0.962802919
302,8115,CO,Sedgwick,,-0.962802919
303,8117,CO,Summit,-48.01996988,-0.962802919
304,8119,CO,Teller,-17.77334331,-0.962802919
305,8121,CO,Washington,,-0.962802919
306,8123,CO,Weld,-8.86526326,-0.962802919
307,8125,CO,Yuma,-7.393871496,-0.962802919
308,9001,CT,Fairfield,-8.630985923999999,0.809998593
309,9003,CT,Hartford,-7.032960758,0.809998593
310,9005,CT,Litchfield,-14.39060201,0.809998593
311,9007,CT,Middlesex,-3.9080075310000004,0.809998593
312,9009,CT,New Haven,-1.774575351,0.809998593
313,9011,CT,New London,-11.04878267,0.809998593
314,9013,CT,Tolland,-9.999432582999999,0.809998593
315,9015,CT,Windham,-10.86396379,0.809998593
316,10001,DE,Kent,-9.12821341,-0.85070816
317,10003,DE,New Castle,-4.914643828,-0.85070816
318,10005,DE,Sussex,-15.45111239,-0.85070816
319,11001,DC,District of Columbia,-9.045293381,-2.7536811439999997
320,12001,FL,Alachua,-23.17864593,-1.867014594
321,12003,FL,Baker,-42.11040282,-1.867014594
322,12005,FL,Bay,-32.57241624,-1.867014594
323,12007,FL,Bradford,-27.97140777,-1.867014594
324,12009,FL,Brevard,-16.15246832,-1.867014594
325,12011,FL,Broward,-13.78872897,-1.867014594
326,12013,FL,Calhoun,-9.434494792,-1.867014594
327,12015,FL,Charlotte,-32.06018237,-1.867014594
328,12017,FL,Citrus,-22.42902133,-1.867014594
329,12019,FL,Clay,-17.11718831,-1.867014594
330,12021,FL,Collier,-23.26942417,-1.867014594
331,12023,FL,Columbia,-13.64347965,-1.867014594
332,12027,FL,DeSoto,-11.70878165,-1.867014594
333,12029,FL,Dixie,-3.353835188,-1.867014594
334,12031,FL,Duval,-13.80484661,-1.867014594
335,12033,FL,Escambia,-22.08979594,-1.867014594
336,12035,FL,Flagler,-28.931013899999996,-1.867014594
337,12037,FL,Franklin,-9.328954255,-1.867014594
338,12039,FL,Gadsden,-21.51206891,-1.867014594
339,12041,FL,Gilchrist,-26.27139002,-1.867014594
340,12043,FL,Glades,-17.66846956,-1.867014594
341,12045,FL,Gulf,-28.23632902,-1.867014594
342,12047,FL,Hamilton,-29.14053931,-1.867014594
343,12049,FL,Hardee,-24.31564313,-1.867014594
344,12051,FL,Hendry,-32.475692800000004,-1.867014594
345,12053,FL,Hernando,-27.28702888,-1.867014594
346,12055,FL,Highlands,-13.65476643,-1.867014594
347,12057,FL,Hillsborough,-16.25757265,-1.867014594
348,12059,FL,Holmes,-23.56412217,-1.867014594
349,12061,FL,Indian River,-31.75502292,-1.867014594
350,12063,FL,Jackson,-25.59049781,-1.867014594
351,12065,FL,Jefferson,-24.08389887,-1.867014594
352,12067,FL,Lafayette,20.05464251,-1.867014594
353,12069,FL,Lake,-18.074907999999997,-1.867014594
354,12071,FL,Lee,-26.78197568,-1.867014594
355,12073,FL,Leon,-19.61425604,-1.867014594
356,12075,FL,Levy,-25.99610202,-1.867014594
357,12077,FL,Liberty,-47.57983137,-1.867014594
358,12079,FL,Madison,-22.34957713,-1.867014594
359,12081,FL,Manatee,-35.8499985,-1.867014594
360,12083,FL,Marion,-17.74682621,-1.867014594
361,12085,FL,Martin,-33.05077991,-1.867014594
362,12086,FL,Miami-Dade,-2.397170176,-1.867014594
363,12087,FL,Monroe,-38.99288279,-1.867014594
364,12089,FL,Nassau,-34.56519986,-1.867014594
365,12091,FL,Okaloosa,-29.23558055,-1.867014594
366,12093,FL,Okeechobee,-22.52191107,-1.867014594
367,12095,FL,Orange,-17.14458792,-1.867014594
368,12097,FL,Osceola,-12.98779358,-1.867014594
369,12099,FL,Palm Beach,-22.60544959,-1.867014594
370,12101,FL,Pasco,-16.27006503,-1.867014594
371,12103,FL,Pinellas,-22.28167218,-1.867014594
372,12105,FL,Polk,-13.77134479,-1.867014594
373,12107,FL,Putnam,-17.05989836,-1.867014594
374,12109,FL,St. Johns,-28.75410516,-1.867014594
375,12111,FL,St. Lucie,-29.25534734,-1.867014594
376,12113,FL,Santa Rosa,-27.00420102,-1.867014594
377,12115,FL,Sarasota,-32.25131611,-1.867014594
378,12117,FL,Seminole,-18.65932112,-1.867014594
379,12119,FL,Sumter,-24.0509139,-1.867014594
380,12121,FL,Suwannee,-16.97727675,-1.867014594
381,12123,FL,Taylor,-17.29008271,-1.867014594
382,12125,FL,Union,-16.67935037,-1.867014594
383,12127,FL,Volusia,-18.32624129,-1.867014594
384,12129,FL,Wakulla,-27.52546619,-1.867014594
385,12131,FL,Walton,-34.33315545,-1.867014594
386,12133,FL,Washington,-11.948171400000001,-1.867014594
387,13001,GA,Appling,-15.32016127,-2.98034946
388,13003,GA,Atkinson,6.666300146,-2.98034946
389,13005,GA,Bacon,3.170696864,-2.98034946
390,13007,GA,Baker,,-2.98034946
391,13009,GA,Baldwin,-16.08606644,-2.98034946
392,13011,GA,Banks,-20.74723092,-2.98034946
393,13013,GA,Barrow,-28.17519018,-2.98034946
394,13015,GA,Bartow,-27.24903676,-2.98034946
395,13017,GA,Ben Hill,-21.24446543,-2.98034946
396,13019,GA,Berrien,-11.66102751,-2.98034946
397,13021,GA,Bibb,-19.05292395,-2.98034946
398,13023,GA,Bleckley,12.01170785,-2.98034946
399,13025,GA,Brantley,13.55924502,-2.98034946
400,13027,GA,Brooks,5.220759635,-2.98034946
401,13029,GA,Bryan,-12.944469999999999,-2.98034946
402,13031,GA,Bulloch,-9.466316545,-2.98034946
403,13033,GA,Burke,-20.27983888,-2.98034946
404,13035,GA,Butts,-31.87753448,-2.98034946
405,13037,GA,Calhoun,-28.81285771,-2.98034946
406,13039,GA,Camden,-18.1967714,-2.98034946
407,13043,GA,Candler,-30.191198800000002,-2.98034946
408,13045,GA,Carroll,-9.097909328,-2.98034946
409,13047,GA,Catoosa,-17.96903881,-2.98034946
410,13049,GA,Charlton,-16.40984843,-2.98034946
411,13051,GA,Chatham,-29.84871472,-2.98034946
412,13053,GA,Chattahoochee,-56.4942811,-2.98034946
413,13055,GA,Chattooga,-15.220111,-2.98034946
414,13057,GA,Cherokee,-31.113590999999996,-2.98034946
415,13059,GA,Clarke,-15.93010991,-2.98034946
416,13061,GA,Clay,-23.34946795,-2.98034946
417,13063,GA,Clayton,-12.42046805,-2.98034946
418,13065,GA,Clinch,-43.84266404,-2.98034946
419,13067,GA,Cobb,-24.94353886,-2.98034946
420,13069,GA,Coffee,-13.14023517,-2.98034946
421,13071,GA,Colquitt,-28.62035736,-2.98034946
422,13073,GA,Columbia,-31.03578659,-2.98034946
423,13075,GA,Cook,7.7559294020000005,-2.98034946
424,13077,GA,Coweta,-17.36394446,-2.98034946
425,13079,GA,Crawford,-26.34335074,-2.98034946
426,13081,GA,Crisp,-24.26176097,-2.98034946
427,13083,GA,Dade,3.589134905,-2.98034946
428,13085,GA,Dawson,-29.15390063,-2.98034946
429,13087,GA,Decatur,-27.15732328,-2.98034946
430,13089,GA,DeKalb,-20.54197956,-2.98034946
431,13091,GA,Dodge,-23.7233405,-2.98034946
432,13093,GA,Dooly,-6.28178916,-2.98034946
433,13095,GA,Dougherty,-28.18633768,-2.98034946
434,13097,GA,Douglas,-29.76463968,-2.98034946
435,13099,GA,Early,10.76889645,-2.98034946
436,13101,GA,Echols,-50.05706119,-2.98034946
437,13103,GA,Effingham,-10.35041456,-2.98034946
438,13105,GA,Elbert,-28.87735275,-2.98034946
439,13107,GA,Emanuel,-16.79712108,-2.98034946
440,13109,GA,Evans,-17.62838995,-2.98034946
441,13111,GA,Fannin,-10.47560772,-2.98034946
442,13113,GA,Fayette,-17.54369666,-2.98034946
443,13115,GA,Floyd,-12.3733366,-2.98034946
444,13117,GA,Forsyth,-25.69541266,-2.98034946
445,13119,GA,Franklin,-26.40422196,-2.98034946
446,13121,GA,Fulton,-14.48586406,-2.98034946
447,13123,GA,Gilmer,-42.94259488,-2.98034946
448,13125,GA,Glascock,,-2.98034946
449,13127,GA,Glynn,-16.80597361,-2.98034946
450,13129,GA,Gordon,-23.64179146,-2.98034946
451,13131,GA,Grady,1.130649835,-2.98034946
452,13133,GA,Greene,-29.54013019,-2.98034946
453,13135,GA,Gwinnett,-23.73879351,-2.98034946
454,13137,GA,Habersham,-32.83113363,-2.98034946
455,13139,GA,Hall,-25.81205142,-2.98034946
456,13141,GA,Hancock,-9.65412204,-2.98034946
457,13143,GA,Haralson,-31.37330473,-2.98034946
458,13145,GA,Harris,-27.45275971,-2.98034946
459,13147,GA,Hart,-7.819018385,-2.98034946
460,13149,GA,Heard,-11.33664203,-2.98034946
461,13151,GA,Henry,-19.77384368,-2.98034946
462,13153,GA,Houston,-28.13045078,-2.98034946
463,13155,GA,Irwin,-21.39527971,-2.98034946
464,13157,GA,Jackson,-38.53005297,-2.98034946
465,13159,GA,Jasper,-31.04114019,-2.98034946
466,13161,GA,Jeff Davis,-12.48449005,-2.98034946
467,13163,GA,Jefferson,-12.8112796,-2.98034946
468,13165,GA,Jenkins,-28.83364381,-2.98034946
469,13167,GA,Johnson,-15.47694433,-2.98034946
470,13169,GA,Jones,-16.81367976,-2.98034946
471,13171,GA,Lamar,-19.49081355,-2.98034946
472,13173,GA,Lanier,-13.8588269,-2.98034946
473,13175,GA,Laurens,-12.38967743,-2.98034946
474,13177,GA,Lee,101.5960242,-2.98034946
475,13179,GA,Liberty,-5.91581871,-2.98034946
476,13181,GA,Lincoln,-19.39919024,-2.98034946
477,13183,GA,Long,-1.233845641,-2.98034946
478,13185,GA,Lowndes,-21.04295693,-2.98034946
479,13187,GA,Lumpkin,-33.889829600000006,-2.98034946
480,13189,GA,McDuffie,-21.39552877,-2.98034946
481,13191,GA,McIntosh,-9.032627166000001,-2.98034946
482,13193,GA,Macon,-12.7371021,-2.98034946
483,13195,GA,Madison,-40.62283414,-2.98034946
484,13197,GA,Marion,8.751405319,-2.98034946
485,13199,GA,Meriwether,-12.24544632,-2.98034946
486,13201,GA,Miller,-10.22035038,-2.98034946
487,13205,GA,Mitchell,6.796475126,-2.98034946
488,13207,GA,Monroe,-15.05273726,-2.98034946
489,13209,GA,Montgomery,17.11218443,-2.98034946
490,13211,GA,Morgan,-35.9988236,-2.98034946
491,13213,GA,Murray,-32.87573287,-2.98034946
492,13215,GA,Muscogee,-23.02454083,-2.98034946
493,13217,GA,Newton,-21.15899516,-2.98034946
494,13219,GA,Oconee,-30.15737547,-2.98034946
495,13221,GA,Oglethorpe,7.565849329,-2.98034946
496,13223,GA,Paulding,-21.76821625,-2.98034946
497,13225,GA,Peach,-6.968132978,-2.98034946
498,13227,GA,Pickens,-25.91093081,-2.98034946
499,13229,GA,Pierce,19.46922026,-2.98034946
500,13231,GA,Pike,-20.51298763,-2.98034946
501,13233,GA,Polk,-14.48288909,-2.98034946
502,13235,GA,Pulaski,2.259737081,-2.98034946
503,13237,GA,Putnam,-41.54756757,-2.98034946
504,13239,GA,Quitman,,-2.98034946
505,13241,GA,Rabun,-15.34270497,-2.98034946
506,13243,GA,Randolph,-37.27088621,-2.98034946
507,13245,GA,Richmond,-16.20826127,-2.98034946
508,13247,GA,Rockdale,-25.52839617,-2.98034946
509,13249,GA,Schley,107.4303192,-2.98034946
510,13251,GA,Screven,-9.478899098,-2.98034946
511,13253,GA,Seminole,25.35544725,-2.98034946
512,13255,GA,Spalding,-24.48484141,-2.98034946
513,13257,GA,Stephens,-20.69744996,-2.98034946
514,13259,GA,Stewart,-43.09452633,-2.98034946
515,13261,GA,Sumter,-30.41420878,-2.98034946
516,13263,GA,Talbot,-9.141689378999999,-2.98034946
517,13265,GA,Taliaferro,,-2.98034946
